charset,UTF-8
version,1

group,Sakura
{
	0,\0ふつう
	1,\0微笑む
	2,\0叱る
	3,\0かなしい
	4,\0楽しい
	5,\0困っちゃう
	6,\0きょとん
	7,\0不安
	8,\0びっくり
	9,\0悩む

	10,\1透明さん/p1
	11,\0ぽかーん
	12,\0むっ…
	13,\0ぺろん
	14,\0そらす
	15,\0微笑む/そらす
	16,\0すねる/そらす
	17,\0かなしい/そらす
	18,\0にやり/そらす

	100,\0ふつう/テレ
	101,\0微笑む/テレ
	102,\0叱る/テレ
	103,\0かなしい/テレ
	104,\0楽しい/テレ
	105,\0困っちゃう/テレ
	106,\0きょとん/テレ
	107,\0不安/テレ
	108,\0びっくり/テレ
	109,\0悩ましい/テレ

	111,\0ぽかーん/テレ
	112,\0むっ…/テレ
	113,\0ぺろん/テレ
	114,\0そらす/テレ
	115,\0微笑む/そらす/テレ
	116,\0すねる/そらす/テレ
	117,\0かなしい/そらす/テレ
	118,\0にやり/そらす/テレ


}



group,__disabled
{
1400,\0
1401,\0
1402,\0
1405,\0
1406,\0
1407,\0
1408,\0

5000,\0
5001,\0
5002,\0
5003,\0
5004,\0
5005,\0
5006,\0
5007,\0
5008,\0
5009,\0
5010,\0

5100,\0
5101,\0
5102,\0
5103,\0
5104,\0
5105,\0
5106,\0
5107,\0
5108,\0
5109,\0
5110,\0

6000,\0
6001,\0
6002,\0
6003,\0
6004,\0
6005,\0

7000,\0
7001,\0
7002,\0
7003,\0
7004,\0
7005,\0
7006,\0
7007,\0
7008,\0
7009,\0
7010,\0
7100,\0
7101,\0
7102,\0
7103,\0
7104,\0
7105,\0
7106,\0
7107,\0
7108,\0
7109,\0
7110,\0

8000,\0

}
